"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
2917.40753441126,0,0,2917.40753441126,2,1,2917.40753441126,2,2,2917.40753441126,2,3,2917.40753441126,2,4,2917.40753441126,2,5,2917.40753441126,2,6,2917.40753441126,3,1,2917.40753441126,3,2,2917.40753441126,3,3,2917.40753441126,3,4,2917.40753441126,3,5,2917.40753441126,3,6,2917.40753441126,4,1,2917.40753441126,4,2,2917.40753441126,4,3,2917.40753441126,4,4,2917.40753441126,4,5,2917.40753441126,4,6,2917.40753441126,5,1,2917.40753441126,5,2,2917.40753441126,5,3,2917.40753441126,5,4,2917.40753441126,5,5,2917.40753441126,5,6,2917.40753441126,6,1,2917.40753441126,6,2,2917.40753441126,6,3,2917.40753441126,6,4,2917.40753441126,6,5,2917.40753441126,6,6,2917.40753441126,7,1,2917.40753441126,7,2,2917.40753441126,7,3,2917.40753441126,7,4,2917.40753441126,7,5,2917.40753441126,7,6
2724.64358785801,0,0,2724.64358785801,2,1,2724.64358785801,2,2,2724.64358785801,2,3,2724.64358785801,2,4,2724.64358785801,2,5,2724.64358785801,2,6,2724.64358785801,3,1,2724.64358785801,3,2,2724.64358785801,3,3,2724.64358785801,3,4,2724.64358785801,3,5,2724.64358785801,3,6,2724.64358785801,4,1,2724.64358785801,4,2,2724.64358785801,4,3,2724.64358785801,4,4,2724.64358785801,4,5,2724.64358785801,4,6,2724.64358785801,5,1,2724.64358785801,5,2,2724.64358785801,5,3,2724.64358785801,5,4,2724.64358785801,5,5,2724.64358785801,5,6,2724.64358785801,6,1,2724.64358785801,6,2,2724.64358785801,6,3,2724.64358785801,6,4,2724.64358785801,6,5,2724.64358785801,6,6,2724.64358785801,7,1,2724.64358785801,7,2,2724.64358785801,7,3,2724.64358785801,7,4,2724.64358785801,7,5,2724.64358785801,7,6
2579.45870029501,0,0,2579.45870029501,2,1,2579.45870029501,2,2,2579.45870029501,2,3,2579.45870029501,2,4,2579.45870029501,2,5,2579.45870029501,2,6,2579.45870029501,3,1,2579.45870029501,3,2,2579.45870029501,3,3,2579.45870029501,3,4,2579.45870029501,3,5,2579.45870029501,3,6,2579.45870029501,4,1,2579.45870029501,4,2,2579.45870029501,4,3,2579.45870029501,4,4,2579.45870029501,4,5,2579.45870029501,4,6,2579.45870029501,5,1,2579.45870029501,5,2,2579.45870029501,5,3,2579.45870029501,5,4,2579.45870029501,5,5,2579.45870029501,5,6,2579.45870029501,6,1,2579.45870029501,6,2,2579.45870029501,6,3,2579.45870029501,6,4,2579.45870029501,6,5,2579.45870029501,6,6,2579.45870029501,7,1,2579.45870029501,7,2,2579.45870029501,7,3,2579.45870029501,7,4,2579.45870029501,7,5,2579.45870029501,7,6
2470.46106516522,0,0,2470.46106516522,2,1,2470.46106516522,2,2,2470.46106516522,2,3,2470.46106516522,2,4,2470.46106516522,2,5,2470.46106516522,2,6,2470.46106516522,3,1,2470.46106516522,3,2,2470.46106516522,3,3,2470.46106516522,3,4,2470.46106516522,3,5,2470.46106516522,3,6,2470.46106516522,4,1,2470.46106516522,4,2,2470.46106516522,4,3,2470.46106516522,4,4,2470.46106516522,4,5,2470.46106516522,4,6,2470.46106516522,5,1,2470.46106516522,5,2,2470.46106516522,5,3,2470.46106516522,5,4,2470.46106516522,5,5,2470.46106516522,5,6,2470.46106516522,6,1,2470.46106516522,6,2,2470.46106516522,6,3,2470.46106516522,6,4,2470.46106516522,6,5,2470.46106516522,6,6,2470.46106516522,7,1,2470.46106516522,7,2,2470.46106516522,7,3,2470.46106516522,7,4,2470.46106516522,7,5,2470.46106516522,7,6
2389.32594622707,0,0,2389.32594622707,2,1,2389.32594622707,2,2,2389.32594622707,2,3,2389.32594622707,2,4,2389.32594622707,2,5,2389.32594622707,2,6,2389.32594622707,3,1,2389.32594622707,3,2,2389.32594622707,3,3,2389.32594622707,3,4,2389.32594622707,3,5,2389.32594622707,3,6,2389.32594622707,4,1,2389.32594622707,4,2,2389.32594622707,4,3,2389.32594622707,4,4,2389.32594622707,4,5,2389.32594622707,4,6,2389.32594622707,5,1,2389.32594622707,5,2,2389.32594622707,5,3,2389.32594622707,5,4,2389.32594622707,5,5,2389.32594622707,5,6,2389.32594622707,6,1,2389.32594622707,6,2,2389.32594622707,6,3,2389.32594622707,6,4,2389.32594622707,6,5,2389.32594622707,6,6,2389.32594622707,7,1,2389.32594622707,7,2,2389.32594622707,7,3,2389.32594622707,7,4,2389.32594622707,7,5,2389.32594622707,7,6
2330.54270851716,0,0,2330.54270851716,2,1,2330.54270851716,2,2,2330.54270851716,2,3,2330.54270851716,2,4,2330.54270851716,2,5,2330.54270851716,2,6,2330.54270851716,3,1,2330.54270851716,3,2,2330.54270851716,3,3,2330.54270851716,3,4,2330.54270851716,3,5,2330.54270851716,3,6,2330.54270851716,4,1,2330.54270851716,4,2,2330.54270851716,4,3,2330.54270851716,4,4,2330.54270851716,4,5,2330.54270851716,4,6,2330.54270851716,5,1,2330.54270851716,5,2,2330.54270851716,5,3,2330.54270851716,5,4,2330.54270851716,5,5,2330.54270851716,5,6,2330.54270851716,6,1,2330.54270851716,6,2,2330.54270851716,6,3,2330.54270851716,6,4,2330.54270851716,6,5,2330.54270851716,6,6,2330.54270851716,7,1,2330.54270851716,7,2,2330.54270851716,7,3,2330.54270851716,7,4,2330.54270851716,7,5,2330.54270851716,7,6
2290.69566501658,0,0,2290.69566501658,2,1,2290.69566501658,2,2,2290.69566501658,2,3,2290.69566501658,2,4,2290.69566501658,2,5,2290.69566501658,2,6,2290.69566501658,3,1,2290.69566501658,3,2,2290.69566501658,3,3,2290.69566501658,3,4,2290.69566501658,3,5,2290.69566501658,3,6,2290.69566501658,4,1,2290.69566501658,4,2,2290.69566501658,4,3,2290.69566501658,4,4,2290.69566501658,4,5,2290.69566501658,4,6,2290.69566501658,5,1,2290.69566501658,5,2,2290.69566501658,5,3,2290.69566501658,5,4,2290.69566501658,5,5,2290.69566501658,5,6,2290.69566501658,6,1,2290.69566501658,6,2,2290.69566501658,6,3,2290.69566501658,6,4,2290.69566501658,6,5,2290.69566501658,6,6,2290.69566501658,7,1,2290.69566501658,7,2,2290.69566501658,7,3,2290.69566501658,7,4,2290.69566501658,7,5,2290.69566501658,7,6
2262.57528881906,0,0,2262.57528881906,2,1,2262.57528881906,2,2,2262.57528881906,2,3,2262.57528881906,2,4,2262.57528881906,2,5,2262.57528881906,2,6,2262.57528881906,3,1,2262.57528881906,3,2,2262.57528881906,3,3,2262.57528881906,3,4,2262.57528881906,3,5,2262.57528881906,3,6,2262.57528881906,4,1,2262.57528881906,4,2,2262.57528881906,4,3,2262.57528881906,4,4,2262.57528881906,4,5,2262.57528881906,4,6,2262.57528881906,5,1,2262.57528881906,5,2,2262.57528881906,5,3,2262.57528881906,5,4,2262.57528881906,5,5,2262.57528881906,5,6,2262.57528881906,6,1,2262.57528881906,6,2,2262.57528881906,6,3,2262.57528881906,6,4,2262.57528881906,6,5,2262.57528881906,6,6,2262.57528881906,7,1,2262.57528881906,7,2,2262.57528881906,7,3,2262.57528881906,7,4,2262.57528881906,7,5,2262.57528881906,7,6
2241.58138608666,0,0,2241.58138608666,2,1,2241.58138608666,2,2,2241.58138608666,2,3,2241.58138608666,2,4,2241.58138608666,2,5,2241.58138608666,2,6,2241.58138608666,3,1,2241.58138608666,3,2,2241.58138608666,3,3,2241.58138608666,3,4,2241.58138608666,3,5,2241.58138608666,3,6,2241.58138608666,4,1,2241.58138608666,4,2,2241.58138608666,4,3,2241.58138608666,4,4,2241.58138608666,4,5,2241.58138608666,4,6,2241.58138608666,5,1,2241.58138608666,5,2,2241.58138608666,5,3,2241.58138608666,5,4,2241.58138608666,5,5,2241.58138608666,5,6,2241.58138608666,6,1,2241.58138608666,6,2,2241.58138608666,6,3,2241.58138608666,6,4,2241.58138608666,6,5,2241.58138608666,6,6,2241.58138608666,7,1,2241.58138608666,7,2,2241.58138608666,7,3,2241.58138608666,7,4,2241.58138608666,7,5,2241.58138608666,7,6
2225.13212409398,0,0,2225.13212409398,2,1,2225.13212409398,2,2,2225.13212409398,2,3,2225.13212409398,2,4,2225.13212409398,2,5,2225.13212409398,2,6,2225.13212409398,3,1,2225.13212409398,3,2,2225.13212409398,3,3,2225.13212409398,3,4,2225.13212409398,3,5,2225.13212409398,3,6,2225.13212409398,4,1,2225.13212409398,4,2,2225.13212409398,4,3,2225.13212409398,4,4,2225.13212409398,4,5,2225.13212409398,4,6,2225.13212409398,5,1,2225.13212409398,5,2,2225.13212409398,5,3,2225.13212409398,5,4,2225.13212409398,5,5,2225.13212409398,5,6,2225.13212409398,6,1,2225.13212409398,6,2,2225.13212409398,6,3,2225.13212409398,6,4,2225.13212409398,6,5,2225.13212409398,6,6,2225.13212409398,7,1,2225.13212409398,7,2,2225.13212409398,7,3,2225.13212409398,7,4,2225.13212409398,7,5,2225.13212409398,7,6
2210.40973822187,0,0,2210.40973822187,2,1,2210.40973822187,2,2,2210.40973822187,2,3,2210.40973822187,2,4,2210.40973822187,2,5,2210.40973822187,2,6,2210.40973822187,3,1,2210.40973822187,3,2,2210.40973822187,3,3,2210.40973822187,3,4,2210.40973822187,3,5,2210.40973822187,3,6,2210.40973822187,4,1,2210.40973822187,4,2,2210.40973822187,4,3,2210.40973822187,4,4,2210.40973822187,4,5,2210.40973822187,4,6,2210.40973822187,5,1,2210.40973822187,5,2,2210.40973822187,5,3,2210.40973822187,5,4,2210.40973822187,5,5,2210.40973822187,5,6,2210.40973822187,6,1,2210.40973822187,6,2,2210.40973822187,6,3,2210.40973822187,6,4,2210.40973822187,6,5,2210.40973822187,6,6,2210.40973822187,7,1,2210.40973822187,7,2,2210.40973822187,7,3,2210.40973822187,7,4,2210.40973822187,7,5,2210.40973822187,7,6
2204.15229776711,0,0,2204.15229776711,2,1,2204.15229776711,2,2,2204.15229776711,2,3,2204.15229776711,2,4,2204.15229776711,2,5,2204.15229776711,2,6,2204.15229776711,3,1,2204.15229776711,3,2,2204.15229776711,3,3,2204.15229776711,3,4,2204.15229776711,3,5,2204.15229776711,3,6,2204.15229776711,4,1,2204.15229776711,4,2,2204.15229776711,4,3,2204.15229776711,4,4,2204.15229776711,4,5,2204.15229776711,4,6,2204.15229776711,5,1,2204.15229776711,5,2,2204.15229776711,5,3,2204.15229776711,5,4,2204.15229776711,5,5,2204.15229776711,5,6,2204.15229776711,6,1,2204.15229776711,6,2,2204.15229776711,6,3,2204.15229776711,6,4,2204.15229776711,6,5,2204.15229776711,6,6,2204.15229776711,7,1,2204.15229776711,7,2,2204.15229776711,7,3,2204.15229776711,7,4,2204.15229776711,7,5,2204.15229776711,7,6
2208.54280329646,0,0,2208.54280329646,2,1,2208.54280329646,2,2,2208.54280329646,2,3,2208.54280329646,2,4,2208.54280329646,2,5,2208.54280329646,2,6,2208.54280329646,3,1,2208.54280329646,3,2,2208.54280329646,3,3,2208.54280329646,3,4,2208.54280329646,3,5,2208.54280329646,3,6,2208.54280329646,4,1,2208.54280329646,4,2,2208.54280329646,4,3,2208.54280329646,4,4,2208.54280329646,4,5,2208.54280329646,4,6,2208.54280329646,5,1,2208.54280329646,5,2,2208.54280329646,5,3,2208.54280329646,5,4,2208.54280329646,5,5,2208.54280329646,5,6,2208.54280329646,6,1,2208.54280329646,6,2,2208.54280329646,6,3,2208.54280329646,6,4,2208.54280329646,6,5,2208.54280329646,6,6,2208.54280329646,7,1,2208.54280329646,7,2,2208.54280329646,7,3,2208.54280329646,7,4,2208.54280329646,7,5,2208.54280329646,7,6
2216.48712248237,0,0,2216.48712248237,2,1,2216.48712248237,2,2,2216.48712248237,2,3,2216.48712248237,2,4,2216.48712248237,2,5,2216.48712248237,2,6,2216.48712248237,3,1,2216.48712248237,3,2,2216.48712248237,3,3,2216.48712248237,3,4,2216.48712248237,3,5,2216.48712248237,3,6,2216.48712248237,4,1,2216.48712248237,4,2,2216.48712248237,4,3,2216.48712248237,4,4,2216.48712248237,4,5,2216.48712248237,4,6,2216.48712248237,5,1,2216.48712248237,5,2,2216.48712248237,5,3,2216.48712248237,5,4,2216.48712248237,5,5,2216.48712248237,5,6,2216.48712248237,6,1,2216.48712248237,6,2,2216.48712248237,6,3,2216.48712248237,6,4,2216.48712248237,6,5,2216.48712248237,6,6,2216.48712248237,7,1,2216.48712248237,7,2,2216.48712248237,7,3,2216.48712248237,7,4,2216.48712248237,7,5,2216.48712248237,7,6
2227.25087941485,0,0,2227.25087941485,2,1,2227.25087941485,2,2,2227.25087941485,2,3,2227.25087941485,2,4,2227.25087941485,2,5,2227.25087941485,2,6,2227.25087941485,3,1,2227.25087941485,3,2,2227.25087941485,3,3,2227.25087941485,3,4,2227.25087941485,3,5,2227.25087941485,3,6,2227.25087941485,4,1,2227.25087941485,4,2,2227.25087941485,4,3,2227.25087941485,4,4,2227.25087941485,4,5,2227.25087941485,4,6,2227.25087941485,5,1,2227.25087941485,5,2,2227.25087941485,5,3,2227.25087941485,5,4,2227.25087941485,5,5,2227.25087941485,5,6,2227.25087941485,6,1,2227.25087941485,6,2,2227.25087941485,6,3,2227.25087941485,6,4,2227.25087941485,6,5,2227.25087941485,6,6,2227.25087941485,7,1,2227.25087941485,7,2,2227.25087941485,7,3,2227.25087941485,7,4,2227.25087941485,7,5,2227.25087941485,7,6
2240.25140052068,0,0,2240.25140052068,2,1,2240.25140052068,2,2,2240.25140052068,2,3,2240.25140052068,2,4,2240.25140052068,2,5,2240.25140052068,2,6,2240.25140052068,3,1,2240.25140052068,3,2,2240.25140052068,3,3,2240.25140052068,3,4,2240.25140052068,3,5,2240.25140052068,3,6,2240.25140052068,4,1,2240.25140052068,4,2,2240.25140052068,4,3,2240.25140052068,4,4,2240.25140052068,4,5,2240.25140052068,4,6,2240.25140052068,5,1,2240.25140052068,5,2,2240.25140052068,5,3,2240.25140052068,5,4,2240.25140052068,5,5,2240.25140052068,5,6,2240.25140052068,6,1,2240.25140052068,6,2,2240.25140052068,6,3,2240.25140052068,6,4,2240.25140052068,6,5,2240.25140052068,6,6,2240.25140052068,7,1,2240.25140052068,7,2,2240.25140052068,7,3,2240.25140052068,7,4,2240.25140052068,7,5,2240.25140052068,7,6
