"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
3001.47079476684,0,0,3001.47079476684,2,1,3001.47079476684,2,2,3001.47079476684,2,3,3001.47079476684,2,4,3001.47079476684,2,5,3001.47079476684,2,6,3001.47079476684,2,7,3001.47079476684,2,8,3001.47079476684,3,1,3001.47079476684,3,2,3001.47079476684,3,3,3001.47079476684,3,4,3001.47079476684,3,5,3001.47079476684,3,6,3001.47079476684,3,7,3001.47079476684,3,8,3001.47079476684,4,1,3001.47079476684,4,2,3001.47079476684,4,3,3001.47079476684,4,4,3001.47079476684,4,5,3001.47079476684,4,6,3001.47079476684,4,7,3001.47079476684,4,8,3001.47079476684,5,1,3001.47079476684,5,2,3001.47079476684,5,3,3001.47079476684,5,4,3001.47079476684,5,5,3001.47079476684,5,6,3001.47079476684,5,7,3001.47079476684,5,8,3001.47079476684,6,1,3001.47079476684,6,2,3001.47079476684,6,3,3001.47079476684,6,4,3001.47079476684,6,5,3001.47079476684,6,6,3001.47079476684,6,7,3001.47079476684,6,8,3001.47079476684,7,1,3001.47079476684,7,2,3001.47079476684,7,3,3001.47079476684,7,4,3001.47079476684,7,5,3001.47079476684,7,6,3001.47079476684,7,7,3001.47079476684,7,8
2746.06922587685,0,0,2746.06922587685,2,1,2746.06922587685,2,2,2746.06922587685,2,3,2746.06922587685,2,4,2746.06922587685,2,5,2746.06922587685,2,6,2746.06922587685,2,7,2746.06922587685,2,8,2746.06922587685,3,1,2746.06922587685,3,2,2746.06922587685,3,3,2746.06922587685,3,4,2746.06922587685,3,5,2746.06922587685,3,6,2746.06922587685,3,7,2746.06922587685,3,8,2746.06922587685,4,1,2746.06922587685,4,2,2746.06922587685,4,3,2746.06922587685,4,4,2746.06922587685,4,5,2746.06922587685,4,6,2746.06922587685,4,7,2746.06922587685,4,8,2746.06922587685,5,1,2746.06922587685,5,2,2746.06922587685,5,3,2746.06922587685,5,4,2746.06922587685,5,5,2746.06922587685,5,6,2746.06922587685,5,7,2746.06922587685,5,8,2746.06922587685,6,1,2746.06922587685,6,2,2746.06922587685,6,3,2746.06922587685,6,4,2746.06922587685,6,5,2746.06922587685,6,6,2746.06922587685,6,7,2746.06922587685,6,8,2746.06922587685,7,1,2746.06922587685,7,2,2746.06922587685,7,3,2746.06922587685,7,4,2746.06922587685,7,5,2746.06922587685,7,6,2746.06922587685,7,7,2746.06922587685,7,8
2547.68166738027,0,0,2547.68166738027,2,1,2547.68166738027,2,2,2547.68166738027,2,3,2547.68166738027,2,4,2547.68166738027,2,5,2547.68166738027,2,6,2547.68166738027,2,7,2547.68166738027,2,8,2547.68166738027,3,1,2547.68166738027,3,2,2547.68166738027,3,3,2547.68166738027,3,4,2547.68166738027,3,5,2547.68166738027,3,6,2547.68166738027,3,7,2547.68166738027,3,8,2547.68166738027,4,1,2547.68166738027,4,2,2547.68166738027,4,3,2547.68166738027,4,4,2547.68166738027,4,5,2547.68166738027,4,6,2547.68166738027,4,7,2547.68166738027,4,8,2547.68166738027,5,1,2547.68166738027,5,2,2547.68166738027,5,3,2547.68166738027,5,4,2547.68166738027,5,5,2547.68166738027,5,6,2547.68166738027,5,7,2547.68166738027,5,8,2547.68166738027,6,1,2547.68166738027,6,2,2547.68166738027,6,3,2547.68166738027,6,4,2547.68166738027,6,5,2547.68166738027,6,6,2547.68166738027,6,7,2547.68166738027,6,8,2547.68166738027,7,1,2547.68166738027,7,2,2547.68166738027,7,3,2547.68166738027,7,4,2547.68166738027,7,5,2547.68166738027,7,6,2547.68166738027,7,7,2547.68166738027,7,8
2393.63580068282,0,0,2393.63580068282,2,1,2393.63580068282,2,2,2393.63580068282,2,3,2393.63580068282,2,4,2393.63580068282,2,5,2393.63580068282,2,6,2393.63580068282,2,7,2393.63580068282,2,8,2393.63580068282,3,1,2393.63580068282,3,2,2393.63580068282,3,3,2393.63580068282,3,4,2393.63580068282,3,5,2393.63580068282,3,6,2393.63580068282,3,7,2393.63580068282,3,8,2393.63580068282,4,1,2393.63580068282,4,2,2393.63580068282,4,3,2393.63580068282,4,4,2393.63580068282,4,5,2393.63580068282,4,6,2393.63580068282,4,7,2393.63580068282,4,8,2393.63580068282,5,1,2393.63580068282,5,2,2393.63580068282,5,3,2393.63580068282,5,4,2393.63580068282,5,5,2393.63580068282,5,6,2393.63580068282,5,7,2393.63580068282,5,8,2393.63580068282,6,1,2393.63580068282,6,2,2393.63580068282,6,3,2393.63580068282,6,4,2393.63580068282,6,5,2393.63580068282,6,6,2393.63580068282,6,7,2393.63580068282,6,8,2393.63580068282,7,1,2393.63580068282,7,2,2393.63580068282,7,3,2393.63580068282,7,4,2393.63580068282,7,5,2393.63580068282,7,6,2393.63580068282,7,7,2393.63580068282,7,8
2274.35663629744,0,0,2274.35663629744,2,1,2274.35663629744,2,2,2274.35663629744,2,3,2274.35663629744,2,4,2274.35663629744,2,5,2274.35663629744,2,6,2274.35663629744,2,7,2274.35663629744,2,8,2274.35663629744,3,1,2274.35663629744,3,2,2274.35663629744,3,3,2274.35663629744,3,4,2274.35663629744,3,5,2274.35663629744,3,6,2274.35663629744,3,7,2274.35663629744,3,8,2274.35663629744,4,1,2274.35663629744,4,2,2274.35663629744,4,3,2274.35663629744,4,4,2274.35663629744,4,5,2274.35663629744,4,6,2274.35663629744,4,7,2274.35663629744,4,8,2274.35663629744,5,1,2274.35663629744,5,2,2274.35663629744,5,3,2274.35663629744,5,4,2274.35663629744,5,5,2274.35663629744,5,6,2274.35663629744,5,7,2274.35663629744,5,8,2274.35663629744,6,1,2274.35663629744,6,2,2274.35663629744,6,3,2274.35663629744,6,4,2274.35663629744,6,5,2274.35663629744,6,6,2274.35663629744,6,7,2274.35663629744,6,8,2274.35663629744,7,1,2274.35663629744,7,2,2274.35663629744,7,3,2274.35663629744,7,4,2274.35663629744,7,5,2274.35663629744,7,6,2274.35663629744,7,7,2274.35663629744,7,8
2183.6987563394,0,0,2183.6987563394,2,1,2183.6987563394,2,2,2183.6987563394,2,3,2183.6987563394,2,4,2183.6987563394,2,5,2183.6987563394,2,6,2183.6987563394,2,7,2183.6987563394,2,8,2183.6987563394,3,1,2183.6987563394,3,2,2183.6987563394,3,3,2183.6987563394,3,4,2183.6987563394,3,5,2183.6987563394,3,6,2183.6987563394,3,7,2183.6987563394,3,8,2183.6987563394,4,1,2183.6987563394,4,2,2183.6987563394,4,3,2183.6987563394,4,4,2183.6987563394,4,5,2183.6987563394,4,6,2183.6987563394,4,7,2183.6987563394,4,8,2183.6987563394,5,1,2183.6987563394,5,2,2183.6987563394,5,3,2183.6987563394,5,4,2183.6987563394,5,5,2183.6987563394,5,6,2183.6987563394,5,7,2183.6987563394,5,8,2183.6987563394,6,1,2183.6987563394,6,2,2183.6987563394,6,3,2183.6987563394,6,4,2183.6987563394,6,5,2183.6987563394,6,6,2183.6987563394,6,7,2183.6987563394,6,8,2183.6987563394,7,1,2183.6987563394,7,2,2183.6987563394,7,3,2183.6987563394,7,4,2183.6987563394,7,5,2183.6987563394,7,6,2183.6987563394,7,7,2183.6987563394,7,8
2117.09528765201,0,0,2117.09528765201,2,1,2117.09528765201,2,2,2117.09528765201,2,3,2117.09528765201,2,4,2117.09528765201,2,5,2117.09528765201,2,6,2117.09528765201,2,7,2117.09528765201,2,8,2117.09528765201,3,1,2117.09528765201,3,2,2117.09528765201,3,3,2117.09528765201,3,4,2117.09528765201,3,5,2117.09528765201,3,6,2117.09528765201,3,7,2117.09528765201,3,8,2117.09528765201,4,1,2117.09528765201,4,2,2117.09528765201,4,3,2117.09528765201,4,4,2117.09528765201,4,5,2117.09528765201,4,6,2117.09528765201,4,7,2117.09528765201,4,8,2117.09528765201,5,1,2117.09528765201,5,2,2117.09528765201,5,3,2117.09528765201,5,4,2117.09528765201,5,5,2117.09528765201,5,6,2117.09528765201,5,7,2117.09528765201,5,8,2117.09528765201,6,1,2117.09528765201,6,2,2117.09528765201,6,3,2117.09528765201,6,4,2117.09528765201,6,5,2117.09528765201,6,6,2117.09528765201,6,7,2117.09528765201,6,8,2117.09528765201,7,1,2117.09528765201,7,2,2117.09528765201,7,3,2117.09528765201,7,4,2117.09528765201,7,5,2117.09528765201,7,6,2117.09528765201,7,7,2117.09528765201,7,8
2066.83349418845,0,0,2066.83349418845,2,1,2066.83349418845,2,2,2066.83349418845,2,3,2066.83349418845,2,4,2066.83349418845,2,5,2066.83349418845,2,6,2066.83349418845,2,7,2066.83349418845,2,8,2066.83349418845,3,1,2066.83349418845,3,2,2066.83349418845,3,3,2066.83349418845,3,4,2066.83349418845,3,5,2066.83349418845,3,6,2066.83349418845,3,7,2066.83349418845,3,8,2066.83349418845,4,1,2066.83349418845,4,2,2066.83349418845,4,3,2066.83349418845,4,4,2066.83349418845,4,5,2066.83349418845,4,6,2066.83349418845,4,7,2066.83349418845,4,8,2066.83349418845,5,1,2066.83349418845,5,2,2066.83349418845,5,3,2066.83349418845,5,4,2066.83349418845,5,5,2066.83349418845,5,6,2066.83349418845,5,7,2066.83349418845,5,8,2066.83349418845,6,1,2066.83349418845,6,2,2066.83349418845,6,3,2066.83349418845,6,4,2066.83349418845,6,5,2066.83349418845,6,6,2066.83349418845,6,7,2066.83349418845,6,8,2066.83349418845,7,1,2066.83349418845,7,2,2066.83349418845,7,3,2066.83349418845,7,4,2066.83349418845,7,5,2066.83349418845,7,6,2066.83349418845,7,7,2066.83349418845,7,8
2027.8888961425,0,0,2027.8888961425,2,1,2027.8888961425,2,2,2027.8888961425,2,3,2027.8888961425,2,4,2027.8888961425,2,5,2027.8888961425,2,6,2027.8888961425,2,7,2027.8888961425,2,8,2027.8888961425,3,1,2027.8888961425,3,2,2027.8888961425,3,3,2027.8888961425,3,4,2027.8888961425,3,5,2027.8888961425,3,6,2027.8888961425,3,7,2027.8888961425,3,8,2027.8888961425,4,1,2027.8888961425,4,2,2027.8888961425,4,3,2027.8888961425,4,4,2027.8888961425,4,5,2027.8888961425,4,6,2027.8888961425,4,7,2027.8888961425,4,8,2027.8888961425,5,1,2027.8888961425,5,2,2027.8888961425,5,3,2027.8888961425,5,4,2027.8888961425,5,5,2027.8888961425,5,6,2027.8888961425,5,7,2027.8888961425,5,8,2027.8888961425,6,1,2027.8888961425,6,2,2027.8888961425,6,3,2027.8888961425,6,4,2027.8888961425,6,5,2027.8888961425,6,6,2027.8888961425,6,7,2027.8888961425,6,8,2027.8888961425,7,1,2027.8888961425,7,2,2027.8888961425,7,3,2027.8888961425,7,4,2027.8888961425,7,5,2027.8888961425,7,6,2027.8888961425,7,7,2027.8888961425,7,8
1997.14294162156,0,0,1997.14294162156,2,1,1997.14294162156,2,2,1997.14294162156,2,3,1997.14294162156,2,4,1997.14294162156,2,5,1997.14294162156,2,6,1997.14294162156,2,7,1997.14294162156,2,8,1997.14294162156,3,1,1997.14294162156,3,2,1997.14294162156,3,3,1997.14294162156,3,4,1997.14294162156,3,5,1997.14294162156,3,6,1997.14294162156,3,7,1997.14294162156,3,8,1997.14294162156,4,1,1997.14294162156,4,2,1997.14294162156,4,3,1997.14294162156,4,4,1997.14294162156,4,5,1997.14294162156,4,6,1997.14294162156,4,7,1997.14294162156,4,8,1997.14294162156,5,1,1997.14294162156,5,2,1997.14294162156,5,3,1997.14294162156,5,4,1997.14294162156,5,5,1997.14294162156,5,6,1997.14294162156,5,7,1997.14294162156,5,8,1997.14294162156,6,1,1997.14294162156,6,2,1997.14294162156,6,3,1997.14294162156,6,4,1997.14294162156,6,5,1997.14294162156,6,6,1997.14294162156,6,7,1997.14294162156,6,8,1997.14294162156,7,1,1997.14294162156,7,2,1997.14294162156,7,3,1997.14294162156,7,4,1997.14294162156,7,5,1997.14294162156,7,6,1997.14294162156,7,7,1997.14294162156,7,8
