"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
510.35876987126,0,0,510.35876987126,2,1,510.35876987126,2,2,510.35876987126,2,3,510.35876987126,2,4,510.35876987126,2,5,510.35876987126,2,6,510.35876987126,2,7,510.35876987126,2,8,510.35876987126,3,1,510.35876987126,3,2,510.35876987126,3,3,510.35876987126,3,4,510.35876987126,3,5,510.35876987126,3,6,510.35876987126,3,7,510.35876987126,3,8,510.35876987126,4,1,510.35876987126,4,2,510.35876987126,4,3,510.35876987126,4,4,510.35876987126,4,5,510.35876987126,4,6,510.35876987126,4,7,510.35876987126,4,8,510.35876987126,5,1,510.35876987126,5,2,510.35876987126,5,3,510.35876987126,5,4,510.35876987126,5,5,510.35876987126,5,6,510.35876987126,5,7,510.35876987126,5,8,510.35876987126,6,1,510.35876987126,6,2,510.35876987126,6,3,510.35876987126,6,4,510.35876987126,6,5,510.35876987126,6,6,510.35876987126,6,7,510.35876987126,6,8,510.35876987126,7,1,510.35876987126,7,2,510.35876987126,7,3,510.35876987126,7,4,510.35876987126,7,5,510.35876987126,7,6,510.35876987126,7,7,510.35876987126,7,8
435.983473258514,0,0,435.983473258514,2,1,435.983473258514,2,2,435.983473258514,2,3,435.983473258514,2,4,435.983473258514,2,5,435.983473258514,2,6,435.983473258514,2,7,435.983473258514,2,8,435.983473258514,3,1,435.983473258514,3,2,435.983473258514,3,3,435.983473258514,3,4,435.983473258514,3,5,435.983473258514,3,6,435.983473258514,3,7,435.983473258514,3,8,435.983473258514,4,1,435.983473258514,4,2,435.983473258514,4,3,435.983473258514,4,4,435.983473258514,4,5,435.983473258514,4,6,435.983473258514,4,7,435.983473258514,4,8,435.983473258514,5,1,435.983473258514,5,2,435.983473258514,5,3,435.983473258514,5,4,435.983473258514,5,5,435.983473258514,5,6,435.983473258514,5,7,435.983473258514,5,8,435.983473258514,6,1,435.983473258514,6,2,435.983473258514,6,3,435.983473258514,6,4,435.983473258514,6,5,435.983473258514,6,6,435.983473258514,6,7,435.983473258514,6,8,435.983473258514,7,1,435.983473258514,7,2,435.983473258514,7,3,435.983473258514,7,4,435.983473258514,7,5,435.983473258514,7,6,435.983473258514,7,7,435.983473258514,7,8
379.525564564884,0,0,379.525564564884,2,1,379.525564564884,2,2,379.525564564884,2,3,379.525564564884,2,4,379.525564564884,2,5,379.525564564884,2,6,379.525564564884,2,7,379.525564564884,2,8,379.525564564884,3,1,379.525564564884,3,2,379.525564564884,3,3,379.525564564884,3,4,379.525564564884,3,5,379.525564564884,3,6,379.525564564884,3,7,379.525564564884,3,8,379.525564564884,4,1,379.525564564884,4,2,379.525564564884,4,3,379.525564564884,4,4,379.525564564884,4,5,379.525564564884,4,6,379.525564564884,4,7,379.525564564884,4,8,379.525564564884,5,1,379.525564564884,5,2,379.525564564884,5,3,379.525564564884,5,4,379.525564564884,5,5,379.525564564884,5,6,379.525564564884,5,7,379.525564564884,5,8,379.525564564884,6,1,379.525564564884,6,2,379.525564564884,6,3,379.525564564884,6,4,379.525564564884,6,5,379.525564564884,6,6,379.525564564884,6,7,379.525564564884,6,8,379.525564564884,7,1,379.525564564884,7,2,379.525564564884,7,3,379.525564564884,7,4,379.525564564884,7,5,379.525564564884,7,6,379.525564564884,7,7,379.525564564884,7,8
336.648379270207,0,0,336.648379270207,2,1,336.648379270207,2,2,336.648379270207,2,3,336.648379270207,2,4,336.648379270207,2,5,336.648379270207,2,6,336.648379270207,2,7,336.648379270207,2,8,336.648379270207,3,1,336.648379270207,3,2,336.648379270207,3,3,336.648379270207,3,4,336.648379270207,3,5,336.648379270207,3,6,336.648379270207,3,7,336.648379270207,3,8,336.648379270207,4,1,336.648379270207,4,2,336.648379270207,4,3,336.648379270207,4,4,336.648379270207,4,5,336.648379270207,4,6,336.648379270207,4,7,336.648379270207,4,8,336.648379270207,5,1,336.648379270207,5,2,336.648379270207,5,3,336.648379270207,5,4,336.648379270207,5,5,336.648379270207,5,6,336.648379270207,5,7,336.648379270207,5,8,336.648379270207,6,1,336.648379270207,6,2,336.648379270207,6,3,336.648379270207,6,4,336.648379270207,6,5,336.648379270207,6,6,336.648379270207,6,7,336.648379270207,6,8,336.648379270207,7,1,336.648379270207,7,2,336.648379270207,7,3,336.648379270207,7,4,336.648379270207,7,5,336.648379270207,7,6,336.648379270207,7,7,336.648379270207,7,8
304.130029049383,0,0,304.130029049383,2,1,304.130029049383,2,2,304.130029049383,2,3,304.130029049383,2,4,304.130029049383,2,5,304.130029049383,2,6,304.130029049383,2,7,304.130029049383,2,8,304.130029049383,3,1,304.130029049383,3,2,304.130029049383,3,3,304.130029049383,3,4,304.130029049383,3,5,304.130029049383,3,6,304.130029049383,3,7,304.130029049383,3,8,304.130029049383,4,1,304.130029049383,4,2,304.130029049383,4,3,304.130029049383,4,4,304.130029049383,4,5,304.130029049383,4,6,304.130029049383,4,7,304.130029049383,4,8,304.130029049383,5,1,304.130029049383,5,2,304.130029049383,5,3,304.130029049383,5,4,304.130029049383,5,5,304.130029049383,5,6,304.130029049383,5,7,304.130029049383,5,8,304.130029049383,6,1,304.130029049383,6,2,304.130029049383,6,3,304.130029049383,6,4,304.130029049383,6,5,304.130029049383,6,6,304.130029049383,6,7,304.130029049383,6,8,304.130029049383,7,1,304.130029049383,7,2,304.130029049383,7,3,304.130029049383,7,4,304.130029049383,7,5,304.130029049383,7,6,304.130029049383,7,7,304.130029049383,7,8
279.568084245704,0,0,279.568084245704,2,1,279.568084245704,2,2,279.568084245704,2,3,279.568084245704,2,4,279.568084245704,2,5,279.568084245704,2,6,279.568084245704,2,7,279.568084245704,2,8,279.568084245704,3,1,279.568084245704,3,2,279.568084245704,3,3,279.568084245704,3,4,279.568084245704,3,5,279.568084245704,3,6,279.568084245704,3,7,279.568084245704,3,8,279.568084245704,4,1,279.568084245704,4,2,279.568084245704,4,3,279.568084245704,4,4,279.568084245704,4,5,279.568084245704,4,6,279.568084245704,4,7,279.568084245704,4,8,279.568084245704,5,1,279.568084245704,5,2,279.568084245704,5,3,279.568084245704,5,4,279.568084245704,5,5,279.568084245704,5,6,279.568084245704,5,7,279.568084245704,5,8,279.568084245704,6,1,279.568084245704,6,2,279.568084245704,6,3,279.568084245704,6,4,279.568084245704,6,5,279.568084245704,6,6,279.568084245704,6,7,279.568084245704,6,8,279.568084245704,7,1,279.568084245704,7,2,279.568084245704,7,3,279.568084245704,7,4,279.568084245704,7,5,279.568084245704,7,6,279.568084245704,7,7,279.568084245704,7,8
261.273124043043,0,0,261.273124043043,2,1,261.273124043043,2,2,261.273124043043,2,3,261.273124043043,2,4,261.273124043043,2,5,261.273124043043,2,6,261.273124043043,2,7,261.273124043043,2,8,261.273124043043,3,1,261.273124043043,3,2,261.273124043043,3,3,261.273124043043,3,4,261.273124043043,3,5,261.273124043043,3,6,261.273124043043,3,7,261.273124043043,3,8,261.273124043043,4,1,261.273124043043,4,2,261.273124043043,4,3,261.273124043043,4,4,261.273124043043,4,5,261.273124043043,4,6,261.273124043043,4,7,261.273124043043,4,8,261.273124043043,5,1,261.273124043043,5,2,261.273124043043,5,3,261.273124043043,5,4,261.273124043043,5,5,261.273124043043,5,6,261.273124043043,5,7,261.273124043043,5,8,261.273124043043,6,1,261.273124043043,6,2,261.273124043043,6,3,261.273124043043,6,4,261.273124043043,6,5,261.273124043043,6,6,261.273124043043,6,7,261.273124043043,6,8,261.273124043043,7,1,261.273124043043,7,2,261.273124043043,7,3,261.273124043043,7,4,261.273124043043,7,5,261.273124043043,7,6,261.273124043043,7,7,261.273124043043,7,8
247.415093375602,0,0,247.415093375602,2,1,247.415093375602,2,2,247.415093375602,2,3,247.415093375602,2,4,247.415093375602,2,5,247.415093375602,2,6,247.415093375602,2,7,247.415093375602,2,8,247.415093375602,3,1,247.415093375602,3,2,247.415093375602,3,3,247.415093375602,3,4,247.415093375602,3,5,247.415093375602,3,6,247.415093375602,3,7,247.415093375602,3,8,247.415093375602,4,1,247.415093375602,4,2,247.415093375602,4,3,247.415093375602,4,4,247.415093375602,4,5,247.415093375602,4,6,247.415093375602,4,7,247.415093375602,4,8,247.415093375602,5,1,247.415093375602,5,2,247.415093375602,5,3,247.415093375602,5,4,247.415093375602,5,5,247.415093375602,5,6,247.415093375602,5,7,247.415093375602,5,8,247.415093375602,6,1,247.415093375602,6,2,247.415093375602,6,3,247.415093375602,6,4,247.415093375602,6,5,247.415093375602,6,6,247.415093375602,6,7,247.415093375602,6,8,247.415093375602,7,1,247.415093375602,7,2,247.415093375602,7,3,247.415093375602,7,4,247.415093375602,7,5,247.415093375602,7,6,247.415093375602,7,7,247.415093375602,7,8
236.849954318001,0,0,236.849954318001,2,1,236.849954318001,2,2,236.849954318001,2,3,236.849954318001,2,4,236.849954318001,2,5,236.849954318001,2,6,236.849954318001,2,7,236.849954318001,2,8,236.849954318001,3,1,236.849954318001,3,2,236.849954318001,3,3,236.849954318001,3,4,236.849954318001,3,5,236.849954318001,3,6,236.849954318001,3,7,236.849954318001,3,8,236.849954318001,4,1,236.849954318001,4,2,236.849954318001,4,3,236.849954318001,4,4,236.849954318001,4,5,236.849954318001,4,6,236.849954318001,4,7,236.849954318001,4,8,236.849954318001,5,1,236.849954318001,5,2,236.849954318001,5,3,236.849954318001,5,4,236.849954318001,5,5,236.849954318001,5,6,236.849954318001,5,7,236.849954318001,5,8,236.849954318001,6,1,236.849954318001,6,2,236.849954318001,6,3,236.849954318001,6,4,236.849954318001,6,5,236.849954318001,6,6,236.849954318001,6,7,236.849954318001,6,8,236.849954318001,7,1,236.849954318001,7,2,236.849954318001,7,3,236.849954318001,7,4,236.849954318001,7,5,236.849954318001,7,6,236.849954318001,7,7,236.849954318001,7,8
228.802376400242,0,0,228.802376400242,2,1,228.802376400242,2,2,228.802376400242,2,3,228.802376400242,2,4,228.802376400242,2,5,228.802376400242,2,6,228.802376400242,2,7,228.802376400242,2,8,228.802376400242,3,1,228.802376400242,3,2,228.802376400242,3,3,228.802376400242,3,4,228.802376400242,3,5,228.802376400242,3,6,228.802376400242,3,7,228.802376400242,3,8,228.802376400242,4,1,228.802376400242,4,2,228.802376400242,4,3,228.802376400242,4,4,228.802376400242,4,5,228.802376400242,4,6,228.802376400242,4,7,228.802376400242,4,8,228.802376400242,5,1,228.802376400242,5,2,228.802376400242,5,3,228.802376400242,5,4,228.802376400242,5,5,228.802376400242,5,6,228.802376400242,5,7,228.802376400242,5,8,228.802376400242,6,1,228.802376400242,6,2,228.802376400242,6,3,228.802376400242,6,4,228.802376400242,6,5,228.802376400242,6,6,228.802376400242,6,7,228.802376400242,6,8,228.802376400242,7,1,228.802376400242,7,2,228.802376400242,7,3,228.802376400242,7,4,228.802376400242,7,5,228.802376400242,7,6,228.802376400242,7,7,228.802376400242,7,8
