"PSIZE","S","Births","I","NI","L","R","new_I","new_NI","new_I_react","new_NI_react","Sv","Lv","Rv","TBItot","TBI0-14","TBI15-54","TBI55-64","TBI65+","TBMtot","TBM0-14","TBM15-54","TBM55-64","TBM65+","TBM15-59","TBM60+","TBPtot","TBP0-14","TBP15-29","TBP30-44","TBP45-59","TBP60+","TBPbtot","TBPb0-14","TBPb15-29","TBPb30-44","TBPb45-59","TBP60+","TBPItot","TBPI0-14","TBPI15-54","TBPI55-64","TBPI65+","YearPsizetot","YearPsize0-14","YearPsize15-54","YearPsize55-64","YearPsize65+","YearPsize15-59","YearPsize15-29","YearPsize30-44","YearPsize45-59","YearPsize60+","type","vxint"
1370516.13038556,81174.1672884196,28807,10937.8439443808,14395.4496419673,1174192.4820184,89816.187492391,3075.83931600126,3553.70392734252,178.937727610489,263.724284149694,0,0,0,338.907416301755,122.756413240728,396.973656783563,434.204915962355,979.585349728709,162.511893701535,30.9321573640244,192.625730839858,210.811418698206,616.197112019297,193.865301484732,473.180882411085,1196.87134384645,390.792134016737,1246.35655340437,1698.60497092426,1666.57211807069,2428.88365800025,487.934502042768,29.1396116528683,588.667641102282,805.484141963208,788.167565587014,2428.88365800025,82.5161688368862,66.4141986241894,91.0418353007276,90.0838182205846,88.2653478732481,1373561.93485925,463378.661386165,741252.932441002,93717.9759270752,75212.365105006,794064.098698066,358462.542364108,253448.225049594,182153.331284364,116119.174775018,0,0
1355438.54333845,71125.8843758957,25189.2546908424,9633.9553691544,12976.4214176131,1172163.63271482,89538.6494609711,2710.95031325897,3169.68475859621,182.270028248856,260.868175600584,0,0,0,294.726794297138,108.220495613095,341.973164342838,376.03254122933,845.808026896248,135.251373906433,25.9082663405263,158.308670827645,174.510289783002,513.89372007613,159.436800730053,393.959187203804,999.819243948466,329.893245443071,1022.77777600312,1414.0534335364,1387.44630055548,2028.30605544315,410.610225980598,24.5663382400413,487.502859344698,675.000148871067,660.483213543966,2028.30605544315,81.4970920523727,62.4884936606395,91.2985320773032,90.2092184332182,88.5773726981031,1377808.17798806,457907.61017686,748448.704368859,94604.2024896677,76847.6609526769,801272.859704858,363669.555839337,254855.71544517,182747.588420351,118627.708106346,0,0
1369838.96379813,92016.2977365877,28771,8503.27010301563,11671.2000336216,1168472.77654307,89175.4193818339,2402.7029874399,2798.48178413248,181.440611714914,259.636154423294,0,0,0,261.403152600976,96.6399314098554,300.439630095143,332.398666971819,744.518160207321,114.649974420948,22.1058539379769,132.368082645589,147.16136840281,435.662301966923,133.389587745014,333.387460343072,849.91544231015,282.660634531224,854.172367995942,1196.69882116707,1174.45189762712,1720.86555902508,353.129540131852,21.1818452564649,411.571960550277,577.390893134693,565.000665018443,1720.86555902508,80.4207394973441,58.1442914069435,91.5448429981133,90.3202005450382,88.8438176543614,1382332.97695138,450549.192924089,757940.94051649,95456.5252211801,78386.318289618,810610.440209424,370741.947481168,256605.167059008,183263.325669249,121173.343817864,0,0
1355650.93099597,83103.7057306681,25950.1052101201,7507.58928810275,10491.0558854545,1165732.68552019,88815.8945715554,2133.61620037656,2510.9895159946,184.469521900836,256.95933093254,0,0,0,236.322380731744,87.3661630789969,268.896597311685,299.64223777287,667.586220656846,99.0954104838195,19.1116848631069,112.724091093794,126.567018727188,375.709758828147,113.64858916301,287.464814276285,735.935823632302,245.097810290215,726.831347384244,1031.12581066403,1012.25559217104,1486.05303612239,310.42472184549,18.5250607944671,354.191512770071,504.30197987042,493.53740199803,1486.05303612239,79.3030951754872,53.3002407589886,91.7858700138003,90.4150137515301,89.0755413474474,1387035.69699862,440825.697887095,770059.161458528,96177.2269740734,79973.6106789192,822582.193552803,380270.802982295,258685.415856511,183625.974713997,123627.805558718,0,0
1370821.97996661,104636.657488757,28775,6650.41111662037,9421.66091715172,1161736.36568004,88376.8847640442,1905.31213436467,2235.87493591614,183.342180528656,255.646055175205,0,0,0,217.536013493294,79.9040407582264,244.808187030447,274.979410118698,609.053184210187,87.3990048587958,16.7794123718086,97.7914993596605,111.047329592648,329.8141521082,98.6385186128499,252.870081131526,649.667109308796,215.373474688577,630.540476825536,905.281486580837,888.931514250404,1307.54190259819,278.831563190074,16.4566118109657,310.639866199613,449.50082552268,439.93961336875,1307.54190259819,78.158027000639,47.825729809894,92.0235710778701,90.499006579344,89.2845476199076,1391843.26908408,428247.039158923,785251.796962483,96685.0700993234,81659.3628633485,837731.731163996,392914.251552885,261041.357169061,183776.12244205,125864.498761159,0,0
1357276.38026229,96617.6570736666,26530.2364544726,5911.17235836839,8474.50141802238,1158378.19050469,87894.8589075373,1720.13955724256,2041.83863045056,186.101011053488,252.957412841219,0,0,0,203.780680659751,73.9072978934958,225.698651134414,256.440400589625,564.571447519484,78.6344403537768,14.9663907410149,85.9383370897857,99.3060597159393,294.843630897216,86.7556516911227,226.798585860835,584.615484116527,190.638682160329,553.934848398486,809.847323707295,795.319368048498,1172.14492221091,255.761190369204,14.7282523170529,274.722879536151,408.407237833111,399.730181894914,1172.14492221091,76.9974304850097,40.8929611681327,92.2782806034926,90.5723391716994,89.4694720274943,1396701.29684659,407567.138605646,808699.907608713,97010.5078795247,83423.7427527036,861201.696903752,413784.713330789,263670.450008984,183746.533563979,127932.46133719,0,0
1373025.28876964,118721.431213746,28810,5275.6624640271,7624.06505112542,1154054.73409731,87349.3959434277,1551.35124188287,1837.18607110308,184.677393315265,251.407878475707,0,0,0,193.525707001357,70.3237098285355,214.153710178246,242.741352292447,530.782840165599,72.1922649661512,13.1542374919227,79.0998302080397,90.4570993886428,268.180564911795,79.7837557468388,207.225566614622,536.10171238406,175.092222681487,511.820007258191,736.425931783384,724.485666203849,1069.83574536504,239.06346966355,13.6615590130403,261.078309306091,377.007467768865,369.627429897499,1069.83574536504,75.8323764241805,36.5304351263988,92.380745035105,90.6368322797629,89.6335395136168,1401565.26760994,408054.059968613,811098.297554219,97132.9457808977,85279.9643062137,863659.979717027,413236.40578711,266901.868603449,183521.705326468,129851.227924304,0,0
1359932.45381382,111462.312129727,26998.6418448253,4728.15151884845,6875.37424253266,1150105.09216362,86761.5237590875,1415.18812742165,1692.06550405659,187.208727448833,248.480848994313,0,0,0,184.956822646905,67.3683306125027,204.172716241897,232.017436741017,504.90812431112,67.3143426738544,12.1740150037307,73.7054712737063,83.7638464937827,248.072256836141,74.3041685495593,192.620202787164,498.633590921123,162.87818894047,478.736211074153,679.605450492643,670.684958985174,992.647684931125,225.731501090016,12.829750831897,248.768554473811,352.719901208782,346.896158776853,992.647684931125,74.6713139327307,32.5415901095682,92.3155685777924,90.6961435418174,89.7832097803959,1406411.63572108,408825.693307702,813312.274835072,97159.5087834034,87114.1587948992,865990.670853105,412357.920266225,270413.684491755,183219.066095125,131595.271560269,0,0
1376116.07061658,134103.097106948,28866,4257.0736554675,6207.21667870822,1145422.53905093,86126.1441245271,1289.0752738889,1538.45720782633,185.539092748081,246.708444906595,0,0,0,177.724995964811,64.5126499393288,195.798860259192,223.055087806507,484.496275845762,63.4298897785746,11.3897310482034,69.3190170720107,78.5658987072922,232.884711998027,69.8670738478934,181.565930059338,468.822599823243,152.840312078408,451.574940769594,634.531718834313,628.974267544203,933.640183970967,214.677807075885,12.1350181093231,237.408357336029,333.186930099006,329.158985624828,933.640183970967,73.5159866299986,29.0184155058445,92.0404621309659,90.7499196190751,89.9158528032448,1411222.88713132,409823.007171584,815288.464078245,97276.280009921,88835.1358715715,868175.069115632,411439.642700626,273687.883689746,183047.542725259,133224.810844106,0,0
1363335.69094916,127478.376655844,27379.2806708476,3851.32568467227,5619.43396403945,1140932.09949042,85454.4551541813,1188.44305223258,1428.70141997392,187.925596830235,243.470463776211,0,0,0,171.733970423076,61.8413674608084,189.027451516374,215.521808098291,467.933098464168,60.3423195729709,10.7290119690934,65.8244052486488,74.4244821720111,221.238012628615,66.3350236817349,172.97677373985,445.149428696834,144.270543049012,430.960741843067,598.001400965424,595.942546041917,887.562596321931,205.711019326513,11.5261818404365,228.454530830861,317.011722942583,314.891427000575,887.562596321931,72.3668535549491,25.9955377183309,91.5360330072825,90.8010719759934,90.0380618424921,1415988.21474133,410986.862910685,817085.939550369,97563.882050862,90351.5302294156,870272.299536572,410645.335669577,276511.911465074,183115.05240192,134729.052294075,0,0
1379850.00801336,150607.768669244,28939,3501.604270182,5097.33942362303,1135894.51140271,84748.7842476025,1093.68050047351,1312.85657233286,186.058579227352,241.514322347474,0,0,0,166.3264072875,58.9783932790063,183.118721397579,208.684955865266,453.701089507394,57.8025984334332,10.1561804722144,62.9316225825828,71.0923051141237,211.990711280787,63.4174209775549,166.119799438115,425.530997790486,136.606040649844,414.129117875622,567.419419218885,569.07785749727,850.639425908289,198.043127493571,10.9618255023396,220.739282351919,303.054742624503,303.00135775448,850.639425908289,71.2224857714991,23.4531205865158,90.8075916682501,90.8485512631608,90.1474905367807,1420701.57239466,412267.561742153,818714.108267148,98004.5549697763,91715.3474155792,872303.818237168,409873.976179811,279010.87527158,183418.966785777,136130.192415335,0,0
1367273.86170514,144496.930340801,27695.0271441842,3200.47831692249,4640.34717758564,1130926.85909261,84009.24677722,1019.1500952872,1229.4160966423,188.29424953312,238.065891780491,0,0,0,162.255028403349,56.8525057961322,178.790927537992,203.278831633291,441.85812767664,55.6744585668255,9.62095300837021,60.5377321053421,68.2594303210773,204.345123430223,60.9987344243524,160.409405083317,409.721280256047,129.763323668539,402.607200561392,541.330490338245,546.917954547342,820.414002037739,191.890156770006,10.4497560044956,215.712570318334,290.816592596084,292.971297748759,820.414002037739,70.0832077553008,21.3440950179441,89.8763402568414,90.8926053539655,90.2455310748537,1425359.02059166,413627.995944231,820164.541415958,98614.1997891743,92952.2834422989,874298.251576435,408999.375783784,281343.235430822,183955.640361829,137432.773070997,0,0
1384034.93615789,168051.145912164,29022,2940.4257902815,4235.74835739599,1125560.43741586,83247.1786821872,947.74839111056,1141.82699419755,186.270325729245,235.949708292411,0,0,0,160.173555876995,55.9217519398714,176.78066439205,199.890162212588,433.254468225268,54.1001791822181,9.1968617052551,58.8311947341652,66.0811882943748,198.290909141755,59.2679161813628,155.864804160757,398.346468649706,124.70978966038,396.650038376642,520.540854480726,530.111730730372,796.926765879407,187.677623358047,10.0935778884392,213.65632661139,281.115667770401,285.515629639036,796.926765879407,68.9636572177705,19.6439250941265,88.7765606957056,90.9355587648874,90.3370685395827,1429953.95529087,415036.632784613,821623.442183124,99249.7163802835,94044.1639428463,876282.464095854,407878.382004175,283707.212192232,184696.869899446,138634.858410401,0,0
1371581.41981823,162339.758301954,27959.7606633502,2716.99548293446,3882.42167760845,1120186.76082424,82455.4835314979,892.931985853951,1078.26250338597,188.462864083233,232.24404759947,0,0,0,159.184408941471,55.4119200576274,176.168048134179,197.470841096951,426.604281839137,52.9630379574992,8.89331797068759,57.6212179833277,64.5188349797591,193.588323753095,58.043200553111,152.316506500016,390.366857797275,121.141911947581,394.572163660909,503.894715137154,517.575843652593,778.711945690303,184.878991580273,9.85684511638429,213.550861297409,273.366795703203,280.081365459074,778.711945690303,67.8690803438275,18.2961067088164,87.5449630424144,90.9759696108581,90.4191609486415,1434483.02232221,416470.079054623,823235.702245183,99726.6328820911,95050.60814031,878184.936196207,406278.833469072,286278.19098653,185627.911740605,139828.007071377,0,0
1388528.61023586,186249.006408135,29114,2523.57950152398,3570.37750595793,1114534.85301067,81650.7938095797,838.954464504595,1011.87819240616,186.31260521534,229.999536382492,0,0,0,159.226276879398,55.3293184593651,176.850115711954,195.911498212774,421.949901573714,52.2769041584115,8.68667859401393,56.9924897500539,63.4129955474471,189.96517269667,57.3909751478223,149.553925086465,385.758633122403,118.821378725178,397.800382601593,490.648580105308,508.396006272783,764.775832692734,183.603228287176,9.71649138255851,216.378049868539,267.22270544552,276.217588702515,764.775832692734,66.8040556177741,17.2452086915201,86.2169992682349,91.0160287559161,90.4967331691516,1438940.95252492,417914.936322102,825133.101526137,99928.2347356633,95964.6799410122,880021.341105429,403940.329553856,289371.781369771,186709.230181802,141004.675097384,0,0
1376137.34366689,180830.535269022,28187.7767096238,2357.84658307537,3296.8578446981,1108829.95174923,80822.1522208641,799.135131272266,963.494193010802,188.554234474595,226.036461445317,0,0,0,160.05641311618,55.5235661158249,178.544661436352,195.006876983746,418.82530400833,51.9122404145836,8.56279487999016,56.7479206028281,62.6344151058271,187.31074787382,57.1163715962613,147.486190330768,383.592936170111,117.518918588172,404.53890844417,479.750557704953,501.977246819741,754.522174505735,183.344274010448,9.65264053526876,220.95982981845,262.15204808781,273.648804138202,754.522174505735,65.7725233272489,16.4415290419641,84.8251115357973,91.0542187280205,90.5661787955812,1443320.65678825,419357.486818968,827238.66106804,99919.1400580837,96805.3688431591,881768.839466,400608.753352635,293199.239063433,187960.847049931,142194.330503283,0,0
1393222.64477703,205020.236384538,29210,2214.0143532051,3055.91150703852,1102944.44532352,79988.03720872,758.270724225583,913.159546519795,186.303731109289,223.699849781497,0,0,0,161.635008722778,56.003168739297,181.170731798061,194.720662246227,417.273017698306,51.8788087859947,8.50384718381928,56.9365056405397,62.1231522987375,185.463750613762,57.2639875354352,145.962077040214,384.114692522068,117.051169810135,416.735628258908,470.827398657997,497.758448711562,747.310543287071,184.355207710332,9.65091034225083,228.621835266179,257.992613746789,272.108218689059,747.310543287071,64.7775731828327,15.8427802109617,83.3966506471549,91.0906232445983,90.6278072706049,1447617.51432415,420791.393169081,829536.018337071,99713.4622791807,97576.6405388174,883393.851246542,395967.434494674,298011.796577673,189414.620174194,143432.269908527,0,0
1380848.7492202,199799.04659625,28385.7725141888,2091.6873511005,2846.07936943668,1096980.03249406,79131.9034093533,729.992287202407,876.453222798479,188.689162470287,219.497766274344,0,0,0,163.931892088274,56.7633196233198,184.680127721855,195.022292446581,417.242750946866,52.1697499040669,8.50132850906142,57.5602930966687,61.8297217015427,184.365084244385,57.8284909127816,145.049756504304,386.822415253978,117.323558266188,433.275156155084,463.755887443951,495.459470143658,743.13042035112,186.350346834498,9.70551213945051,238.583365662086,254.724913608662,271.494692736677,743.13042035112,63.8227168481295,15.414650250677,81.9539195116559,91.1270027017557,90.6862333544334,1451839.7810908,422210.526689491,831953.255021938,99393.8185255816,98282.1808537866,885044.538441203,389691.607105684,304298.864235837,191054.067099682,144584.715960103,0,0
