O_pre_c30_v40,O_pre_c30_v60,O_pre_c30_v80,O_pre_70_v40,O_pre_c70_v60,O_pre_c70_v80,O_L_c30_v40,O_L_c30_v60,O_L_c30_v80,O_L_70_v40,O_L_c70_v60,O_L_c70_v80,O_Mix_c30_v40,O_Mix_c30_v60,O_Mix_c30_v80,O_Mix_70_v40,O_Mix_c70_v60,O_Mix_c70_v80,Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
10.1820999,15.05074078,19.77737754,22.85181387,33.14974241,42.76826052,41.93132498,61.88974321,81.19607869,93.71184616,135.3468517,173.7441092,51.81218017,76.28185441,99.83557905,115.044064,165.2966737,211.1854105,11.15329228,16.40633321,21.45613334,24.71411048,35.47176342,45.29978514,0.826663707,1.222760432,1.607654992,1.85813447,2.697281889,3.48013143,11.96506591,17.59657907,23.00767931,26.49736689,38.01171626,48.51847213
10.63893308,15.72704217,20.66750714,23.88147333,34.64967731,44.71213222,45.41005089,67.00378124,87.87808907,101.4025027,146.3436884,187.7127301,55.69807962,81.96397197,107.221339,123.5159853,177.2739397,226.2384607,11.36697632,16.72252003,21.8725431,25.19627121,36.17903816,46.22737199,0.839300781,1.241749902,1.633019271,1.887761011,2.741903748,3.539867544,12.19022434,17.92921932,23.44508089,27.00332183,38.75136987,49.48544809
11.02749903,16.30534697,21.4328144,24.7700262,35.9614464,46.43590375,47.98480921,70.84413421,92.96950687,107.3198823,155.100868,199.2297927,58.60910686,86.26853935,112.8813802,130.0596252,186.7932393,238.5686081,11.54468274,16.9853351,22.2185201,25.59678845,36.76626962,46.99746144,0.850135286,1.258065646,1.654858177,1.913305038,2.78055803,3.591847874,12.37764196,18.20589875,23.80866811,27.42374046,39.36539444,50.28777555
11.35738308,16.79875517,22.08905616,25.53452593,37.10370734,47.95548555,49.93397943,73.78917647,96.9243622,111.9555951,162.1668257,208.797441,60.83714355,89.59519561,117.2988883,135.2008971,194.4530588,248.7374595,11.69175169,17.20255153,22.50412806,25.92717925,37.24964494,47.63035278,0.859501732,1.272200137,1.673816129,1.935508995,2.814310263,3.637431229,12.53298408,18.43486299,24.10911537,27.77083801,39.87095509,50.94697649
11.65092311,17.23851655,22.6748561,26.21764467,38.12770801,49.3217167,51.58755694,76.29862068,100.3086166,115.9334154,168.2858162,217.1533755,62.73515503,92.43635356,121.0810652,139.6098356,201.057063,257.5478993,11.81067906,17.37781879,22.73411671,26.19290066,37.63696051,48.13602464,0.867491151,1.284288756,1.690072103,1.954580507,2.843465834,3.677016987,12.65883265,18.61988637,24.35133388,28.05025624,40.27610936,51.47336213
11.90724578,17.62322728,23.18822493,26.81697481,39.02942088,50.52874303,52.92777316,78.34463416,103.0836163,119.2070654,173.3823859,224.1892694,64.28487591,94.76368885,124.1890003,143.2402095,206.5319989,264.8979321,11.88636841,17.48874596,22.8789621,26.3597603,37.87820877,48.44942379,0.873311863,1.293157722,1.702079149,1.96872873,2.865410238,3.707212009,12.73932392,18.73745798,24.50434658,28.22613818,40.52850759,51.7989512
12.11235079,17.93238115,23.60246672,27.30186479,39.76538227,51.52180706,53.84969643,79.77215654,105.0456879,121.5412887,177.1157903,229.4664249,65.36871134,96.40461422,126.3975706,145.8332083,210.5092974,270.3213587,11.90084952,17.50933085,22.90522463,26.38967665,37.92093242,48.50639949,0.874853862,1.295700246,1.705771542,1.97326931,2.873420714,3.719445313,12.75442889,18.75858034,24.53083988,28.25597324,40.56950233,51.85190144
12.22488076,18.10522804,23.83825879,27.58105277,40.20521297,52.13533432,54.0729984,80.16733102,105.6517638,122.3092369,178.5804404,231.8222907,65.66826346,96.89175705,127.0969658,146.6875957,211.9890974,272.5511803,11.82450081,17.39714751,22.75891295,26.22160286,37.68322465,48.20960753,0.867309115,1.284843233,1.691901446,1.957553906,2.852249793,3.694324332,12.6698253,18.6339866,24.3679716,28.06859278,40.30302219,51.51723799
12.19456767,18.06816039,23.79978917,27.54453293,40.19287313,52.17254475,53.22032718,78.97383581,104.1728452,120.6702236,176.5657402,229.7077511,64.76096182,95.60625545,125.4815459,144.8783282,209.6591384,269.932688,11.59453602,17.06122805,22.32284347,25.72191097,36.97989584,47.33066851,0.842684403,1.248809792,1.645046683,1.903805711,2.776343033,3.599212292,12.41495221,18.26140582,23.88394798,27.51367073,39.52055445,50.5375969
11.9826554,17.76448692,23.41333873,27.10771912,39.60862495,51.48270067,50.99991798,75.76088998,100.0435805,115.9716044,170.1283128,221.9107588,62.32169057,92.07250708,120.9328399,139.6957696,202.5150549,261.2020157,11.15688945,16.42345703,21.49665925,24.77636005,35.65353374,45.67647335,0.793502097,1.176574395,1.55075788,1.795360509,2.621699674,3.403394727,11.92851364,17.55223364,22.96488271,26.46152444,38.04321795,48.69330432
11.54314643,17.12525804,22.58703541,26.16347352,38.29199606,49.85213672,47.45804345,70.59182576,93.3404265,108.296442,159.3612334,208.5148199,58.35631868,86.29737271,113.4574237,131.1456035,190.5550386,246.3431924,10.5138067,15.4873194,20.28512564,23.39058013,33.71276949,43.25845156,0.719281358,1.067403478,1.408040739,1.63104581,2.386496702,3.104357801,11.21237886,16.50944946,21.61494027,24.91713659,35.8789254,45.99511587
10.95046826,16.25920186,21.46207341,24.87365306,36.47131893,47.56722652,43.21328153,64.37296354,85.24349724,98.99978293,146.1853781,191.9373362,53.55412923,79.28800885,104.3634003,120.727482,175.8948399,228.0091637,9.753376198,14.38073718,18.85339994,21.75317984,31.42026672,40.40199997,0.630358408,0.936492774,1.236749974,1.433712829,2.103401457,2.743577766,10.36478234,15.27576126,20.01843493,23.09104414,33.321129,42.80688092
10.36783113,15.40620435,20.35190647,23.59909268,34.66334057,45.28628298,39.13513433,58.38207149,77.42169145,90.00195118,133.3440847,175.6597113,48.9352778,72.53472094,95.5860543,110.6598682,161.6637126,210.1238554,9.00778752,13.2953731,17.44856372,20.14605664,29.16741699,37.59074057,0.543393154,0.8083628,1.068961722,1.24030827,1.825386212,2.388520763,9.534166808,14.06647228,18.45301959,21.30009512,30.8100851,39.67300067
9.868090853,14.67278855,19.39498827,22.49860498,33.09261185,43.29165323,35.78864752,53.45173974,70.96543614,82.55997448,122.6451173,161.9920894,45.12957602,66.95896048,88.32380014,102.3179593,149.8087378,195.1385399,8.375683721,12.37410167,16.25461615,18.77899741,27.24484444,35.18304394,0.471873889,0.702886418,0.930699734,1.080828887,1.595570508,2.094255223,8.832299205,13.04353893,17.12736031,19.78226954,28.67579751,37.00077789
9.463345337,14.07695913,18.61514791,21.59986081,31.80003045,41.6372003,33.26381072,49.71857043,66.05898609,76.8904401,114.4216549,151.3893207,42.23522712,62.70673613,82.7696855,95.92577212,140.6601927,183.4870942,7.884252124,11.65633793,15.32237682,17.70999725,25.73322267,33.27895319,0.419976863,0.626241943,0.83008844,0.964665964,1.427592088,1.878383976,8.290383458,12.25220522,16.09979699,18.6041463,27.01087157,34.90500699
9.128663169,13.58268768,17.96613292,20.85026253,30.71363068,40.23575951,31.34619951,46.87173068,62.30209846,72.53731166,108.0457034,143.0862861,40.01240003,59.43002429,78.47499309,90.97151416,133.5100493,174.3014208,7.506578487,11.10312592,14.60173259,16.88197615,24.55388047,31.78222059,0.384252307,0.573380789,0.760562354,0.884287474,1.310810372,1.727569287,7.878069139,11.64849314,15.31369137,17.7011625,25.72606423,33.27616104
243.8658965,361.130002,475.4139364,549.9946096,801.3183168,1038.376532,953.890362,1413.94123,1863.046928,2156.486837,3147.048623,4083.115407,1188.321407,1754.349055,2302.49389,2658.297857,3845.754903,4948.667723,244.9649615,360.7717217,472.3917161,544.5705277,783.926432,1004.180582,17.64007962,26.1317408,34.40987666,39.81200433,58.00352297,75.12039586,262.2435467,386.1130285,505.4356517,582.5578927,838.0822264,1072.881773
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
